novel,quote_id,gold_speaker,quote_text,candidates,explicit_mentions,previous_participants
PrideAndPrejudice,Q1111,Lady Catherine De Bourgh,"I hope you are well, Miss Bennet. That lady I suppose is your mother.","['Jane', 'Mrs. Bennet', 'Kitty', 'Elizabeth']","['Elizabeth', 'Elizabeth', 'Mrs. Bennet', 'Elizabeth', 'Mrs. Bennet', 'Kitty']","['Jane', 'Elizabeth']"
AHandfulOfDust,Q864,Nanny,"No, sir, I wouldn't have let him go to-day, only he went on so. Come
along now, John, and take off your coat. Goodness, child, where's your
handkerchief?","['Tony Last', 'John Andrew', 'John Last']","['Tony Last', 'John Andrew', 'John Andrew', 'John Andrew', 'John Last', 'John Andrew', 'Tony Last', 'John Andrew']","['Tony Last', 'John Andrew']"
APassageToIndia,Q870,Cyril Fielding,"Godbole's pujah did it,","['Mrs. Moore', '_unknowable', 'Professor Godbole', 'Dr. Aziz', 'Adela Quested', 'Mohammed Latif']","['Professor Godbole', 'Mohammed Latif', 'Adela Quested', 'Dr. Aziz', 'Mrs. Moore', 'Professor Godbole']","['_unknowable', 'Dr. Aziz', 'Mohammed Latif']"
Emma,Q275,Harriet Smith,"I dare say they are, sir. I am sure I do not know who is not.","['Emma', 'Mr. Woodhouse']","['Mr. Woodhouse', 'Emma', 'Mr. Woodhouse']","['Emma', 'Mr. Woodhouse']"
SenseAndSensibility,Q408,Elinor,"I should guess so, from what I have
witnessed this morning.","['Lucy Steele', 'Marianne', 'Anne Steele']","['Marianne', 'Lucy Steele', 'Anne Steele']","['Lucy Steele', 'Marianne', 'Anne Steele']"
HowardsEnd,Q1573,Myra,Didn t really hurt him?,"['Charles Wilcox', 'Mrs. Warrington', 'Margaret']","['Mrs. Warrington', 'Charles Wilcox', 'Margaret']","['Charles Wilcox', 'Mrs. Warrington', 'Margaret']"
SenseAndSensibility,Q307,Elinor,"Do not you know my sister well enough to
understand what she means? Do not you know she calls every one reserved
who does not talk as fast, and admire what she admires as rapturously
as herself?","['Edward Ferrars', 'Mrs. Dashwood', 'Marianne', 'Margaret']","['Edward Ferrars', 'Marianne', 'Marianne', 'Edward Ferrars', 'Marianne', 'Marianne', 'Mrs. Dashwood', 'Edward Ferrars', 'Marianne', 'Margaret']","['Edward Ferrars', 'Marianne']"
NightAndDay,Q595,Mr. Clacton,"I fancy, ladies and gentlemen, that we are ready to commence.","['Mrs. Seal', 'Mary Datchet', 'Miss Markham']","['Mrs. Seal', 'Mary Datchet', 'Miss Markham']","['Mrs. Seal', 'Mary Datchet']"
AHandfulOfDust,Q1068,Jenny Abdul Akbar,"Hullo, Johnny-boy. Come in.","['Grimshawe', 'Brenda', 'John Andrew']","['John Andrew', 'John Andrew']","['Grimshawe', 'Brenda', 'John Andrew']"
TheSportOfTheGods,Q536,The Editor,"It would be a big thing for the paper, if it only panned
out; but it is such a rattle-brained, harum-scarum thing. No one under
the sun would have thought of it but you, Skaggs.","['Hattie Sterling', 'Sadness', 'Joe Hamilton', 'Mr. Skaggs']","['Mr. Skaggs', 'Mr. Skaggs', 'Mr. Skaggs']","['Hattie Sterling', 'Sadness', 'Joe Hamilton']"
TheManWhoWasThursday,Q792,Gabriel Syme,"Gregory! Why, this is the
real anarchist!","['Professor De Worms', 'The Secretary', 'Dr. Bull', 'Mr. Lucian Gregory', 'Gogol', 'Inspector Ratcliffe', 'The President']","['Mr. Lucian Gregory', 'Professor De Worms', 'Gogol', 'Inspector Ratcliffe', 'The Secretary', 'Mr. Lucian Gregory', 'Dr. Bull', 'The President']","['Professor De Worms', 'Dr. Bull', 'Gogol', 'Inspector Ratcliffe', 'The President']"
TheGambler,Q612,The Croupier,Vingt-deux! Trente-et-un! Rouge! Quatre!,"['Alexis Ivanovitch', 'Polina Alexandrovna']",['Alexis Ivanovitch'],"['Alexis Ivanovitch', 'Polina Alexandrovna']"
TheSunAlsoRises,Q924,Brett Ashley,Chap bought it for me. Don't you like it?,"['Jake Barnes', 'Bill Gorton', 'Mike Campbell']","['Mike Campbell', 'Jake Barnes', 'Mike Campbell', 'Bill Gorton']",['Mike Campbell']
PrideAndPrejudice,Q798,George Wickham,"How long did you
say that he was at Rosings?","['Mr. Bennet', 'Elizabeth', 'Colonel Fitzwilliam']","['Colonel Fitzwilliam', 'Elizabeth']","['Mr. Bennet', 'Elizabeth']"
TheMysteriousAffairAtStyles,Q1551,Evelyn Howard,Don't remember. Lots of parcels come. Can't remember one special one.,"['Dorcas', 'Mr. Philips', 'Manning', 'Annie', 'Ernest Heavywether', 'Dr. Bauerstein', 'Mr. Inglethorp', 'Mr. Hastings', 'The Judge', 'Hercule Poirot', 'John Cavendish', 'Mary Cavendish', ""An Assistant From Parkson's"", 'Mr. Mace']","['Dorcas', 'Hercule Poirot', 'Mr. Philips', 'Annie', 'Mr. Mace', 'Mary Cavendish', 'Manning', 'Mr. Inglethorp', 'Dr. Bauerstein', 'Mr. Hastings', 'John Cavendish', ""An Assistant From Parkson's"", 'Ernest Heavywether', 'The Judge']","['Dorcas', 'Mr. Philips']"
HardTimes,Q1595,Josiah Bounderby,"What's the matter now, ma'am?","['Thomas Gradgrind', 'Mrs. Sparsit', 'Mr. Sleary']","['Mrs. Sparsit', 'Mrs. Sparsit']","['Mr. Sleary', 'Thomas Gradgrind']"
TheSignOfTheFour,Q218,Mr. Sherlock Holmes,"Don t trouble yourself about it, Mr. Sholto, I think
that I can engage to clear you of the charge.","['Dr. Watson', 'A High Piping Voice', 'Mr. Athelney Jones', 'Inspector In Uniform']","['A High Piping Voice', 'A High Piping Voice', 'A High Piping Voice', 'Dr. Watson', 'Mr. Athelney Jones', 'Inspector In Uniform']","['A High Piping Voice', 'Inspector In Uniform', 'Mr. Athelney Jones']"
Emma,Q897,Mrs. Elton,"My brother
Mr. Suckling's seat;","['Emma', 'Mr. Elton', 'Mr. Woodhouse', 'Harriet Smith']","['Emma', 'Mr. Woodhouse', 'Mr. Elton']","['Emma', 'Harriet Smith']"
Emma,Q1315,Mr. Weston,"Ah! poor woman,
who would have thought it!","['Emma', 'Mr. Woodhouse', 'Mr. Knightley']",[],"['Emma', 'Mr. Woodhouse', 'Mr. Knightley']"
NightAndDay,Q24,Ralph Denham,"You must be very proud of your family, Miss Hilbery.",['Katharine Hilbery'],"['Katharine Hilbery', 'Katharine Hilbery', 'Katharine Hilbery', 'Katharine Hilbery']",['Katharine Hilbery']
WinnieThePooh,Q540,Rabbit,"Go on,","['_group', 'Kanga', 'Baby Roo', 'Piglet', 'Winnie-the-pooh']","['Winnie-the-pooh', 'Baby Roo', 'Piglet', 'Kanga']","['_group', 'Kanga', 'Winnie-the-pooh']"
